series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status
41467.0,Bleach: Sennen Kessen-hen,TV,13.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
53998.0,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,TV,13.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
11633.0,Blood Lad,TV,10.0,0.0,10.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
49596.0,Blue Lock,TV,24.0,0.0,24.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
31043.0,Boku dake ga Inai Machi,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,9.0,,0.0,Completed
31964.0,Boku no Hero Academia,TV,13.0,0.0,13.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
33486.0,Boku no Hero Academia 2nd Season,TV,25.0,0.0,25.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
36456.0,Boku no Hero Academia 3rd Season,TV,25.0,0.0,25.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
38408.0,Boku no Hero Academia 4th Season,TV,25.0,0.0,25.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
41587.0,Boku no Hero Academia 5th Season,TV,25.0,0.0,25.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
49918.0,Boku no Hero Academia 6th Season,TV,25.0,0.0,25.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
54789.0,Boku no Hero Academia 7th Season,TV,21.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
36896.0,Boku no Hero Academia the Movie 1: Futari no Hero,Movie,1.0,0.0,1.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
52578.0,Boku no Kokoro no Yabai Yatsu,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
55690.0,Boku no Kokoro no Yabai Yatsu 2nd Season,TV,13.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
63735.0,Boku no Kokoro no Yabai Yatsu 3rd Season,TV,0.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
38186.0,Bokutachi wa Benkyou ga Dekinai,TV,13.0,0.0,13.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
40004.0,Bokutachi wa Benkyou ga Dekinai!,TV,13.0,0.0,13.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
53439.0,Boushoku no Berserk,TV,12.0,0.0,12.0,2024-02-17,2024-02-17,,7.0,,0.0,Completed
53411.0,Buddy Daddies,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
